utt_id,text,category,h,s,b,dimmer,tag
1,낭만적인 분위기로 보라색 켜줘,romantic,26,60,67,95,romantic
2,고요하게 낮춰줘,calm,313,78,47,25,calm
3,피곤해 불 꺼줘,sleepy,264,87,75,71,sleepy
4,활기차게 아침을 시작하고 싶어,energetic,153,60,21,87,energetic
5,오늘은 잔잔하고 조용하게,calm,46,80,79,49,calm
6,로맨틱하게 은은하게,romantic,30,90,23,45,romantic
7,오늘은 잔잔하고 조용하게,calm,223,56,49,25,calm
8,집중 모드로 선명하게,focused,226,37,70,96,focused
9,지쳐서 은은하게,tired,53,69,28,50,tired
10,분위기 있게 보라빛으로,romantic,66,62,100,21,romantic
11,좀 차갑게 집중할 수 있게,focused,54,77,53,76,focused
12,피곤해 불 꺼줘,sleepy,348,36,55,40,sleepy
13,기분이 상쾌해 밝게 해줘,happy,220,61,96,26,happy
14,좀 차갑게 집중할 수 있게,focused,186,64,85,52,focused
15,잠 와서 어둡게 해줘,sleepy,337,59,53,73,sleepy
16,고요하게 낮춰줘,calm,332,81,90,90,calm
17,너무 졸려 불 조금만 줄여줘,sleepy,1,97,35,49,sleepy
18,지쳐서 은은하게,tired,74,28,96,67,tired
19,편안하게 차분한 불빛으로,calm,241,48,73,29,calm
20,기분이 상쾌해 밝게 해줘,happy,334,66,42,78,happy
21,활기차게 아침을 시작하고 싶어,energetic,3,44,94,49,energetic
22,지쳐서 은은하게,tired,48,41,28,81,tired
23,고요하게 낮춰줘,calm,298,77,38,31,calm
24,차갑고 선명한 빛으로,focused,31,87,30,40,focused
25,편안하게 차분한 불빛으로,calm,262,73,75,93,calm
26,오늘은 잔잔하고 조용하게,calm,190,82,51,99,calm
27,마음이 답답하고 우울해,sad,217,80,45,46,sad
28,좀 차갑게 집중할 수 있게,focused,58,62,34,76,focused
29,오늘 기분이 너무 좋아 환하게 켜줘,happy,204,48,89,91,happy
30,잠 와서 어둡게 해줘,sleepy,178,36,53,91,sleepy
31,지쳐서 은은하게,tired,5,26,86,63,tired
32,고요하게 낮춰줘,calm,57,31,40,30,calm
33,피곤하니 잔잔한 빛으로,tired,210,56,89,67,tired
34,우울하니 파랗게,sad,99,48,45,62,sad
35,피곤하니 잔잔한 빛으로,tired,139,97,92,53,tired
36,피곤해 불 꺼줘,sleepy,21,33,50,44,sleepy
37,집중 모드로 선명하게,focused,197,37,21,97,focused
38,좀 차갑게 집중할 수 있게,focused,195,29,26,74,focused
39,기분이 상쾌해 밝게 해줘,happy,189,91,69,20,happy
40,즐거우니 불을 환하게,happy,184,82,77,49,happy
41,마음이 답답하고 우울해,sad,16,29,60,72,sad
42,오늘 기분이 너무 좋아 환하게 켜줘,happy,296,68,91,78,happy
43,피곤하니 잔잔한 빛으로,tired,47,45,46,55,tired
44,짜증나니까 빨갛게 바꿔,angry,229,97,88,86,angry
45,오늘은 좀 슬퍼 차갑게,sad,155,81,51,83,sad
46,은은하고 따뜻하게,warm,286,32,32,54,warm
47,우울하니 파랗게,sad,76,69,75,28,sad
48,즐거우니 불을 환하게,happy,147,46,20,85,happy
