utt_id,text,h,s,b,dimmer,tag
1,밤 베란다 들뜬 마음 위로 반짝이는 순간이 감싸는는 느낌,61,90,100,76,happy
2,낮 복도에 말린 어깨이 감싸는 시선,11,49,48,48,tired
3,밤 거실 고요한 평온 위로 선명한 생각이 맴도는는 느낌,210,80,60,72,focused
4,은근히 홀로 선 그림자과 울적한 기분이 베란다에 따르는 포근한 공기,226,55,35,35,lonely
5,흐린 주말 들뜬 마음 사이로 담백한 온기이 맴도는다,15,86,77,67,warm
6,아침 작은 방 고요한 평온 위로 담백한 온기이 따르는는 느낌,29,87,84,56,warm
7,문득 유쾌한 웃음과 감사한 마음이 서재에 번지는 포근한 공기,40,83,97,77,happy
8,오래도록 포근한 마음결과 잔잔한 안정감이 방에 스며드는 흐린 공기,15,85,78,70,warm
9,쌀쌀한 새벽 잔잔한 안정감 사이로 환한 마음이 흘러가는다,55,82,100,95,happy
10,안개 낀 주말 감사한 마음 사이로 소소한 기쁨이 적시는다,73,83,98,80,happy
11,천천히 잦은 맥박과 울적한 기분이 거실에 깃드는 쌀쌀한 공기,199,73,45,45,anxious
12,아련히 새벽 복도에 비 오는 감싸는 담백한 온기,23,91,77,61,warm
13,새벽 베란다에 홀로 선 그림자이 따르는 발자국,211,56,33,43,lonely
14,은근히 잔잔한 파도과 상쾌한 기분이 방에 따르는 축축한 공기,61,52,40,53,calm
15,축축한 평일 지친 기운 사이로 찌릿한 눈가이 따르는다,27,43,21,36,uncomfortable
16,평일 베란다에 충만한 미소이 맴도는 생각,81,72,83,90,grateful
17,밤 베란다 거칠어진 감정 위로 말린 어깨이 감싸는는 느낌,48,50,36,42,tired
18,가만히 반짝이는 순간과 설레는 느낌이 방에 맴도는 안개 낀 공기,76,98,93,82,happy
19,문득 찌릿한 눈가과 무거운 마음이 복도에 흘러가는 안개 낀 공기,359,55,37,26,uncomfortable
20,축축한 오후 고요한 평온 사이로 모아지는 집중이 스며드는다,208,82,67,62,focused
21,오래도록 고마운 하루과 잔잔한 안정감이 작업실에 맴도는 안개 낀 공기,80,66,83,85,grateful
22,가만히 오후 부엌에 바람 부는 깃드는 누그러진 긴장,18,89,89,72,warm
23,밤 방 고요한 평온 위로 포근한 마음결이 적시는는 느낌,28,95,83,71,warm
24,오래도록 낮게 깔린 생각과 울적한 기분이 거실에 맴도는 맑은 공기,218,74,35,34,sad
25,밤 서재에 촉촉한 눈가이 스며드는 맥박,226,52,46,46,sad
26,주말 서재에 비어 있는 자리이 감싸는 손끝,240,53,29,28,lonely
27,아련히 모아지는 집중과 활기찬 리듬이 작은 방에 맴도는 맑은 공기,214,71,63,76,focused
28,어느새 충만한 미소과 상쾌한 기분이 방에 적시는 축축한 공기,78,60,87,79,grateful
29,어느새 아침 작업실에 흐린 깃드는 늘어진 하품,188,29,20,34,sleepy
30,살며시 오후 거실에 흐린 맴도는 느려진 시간,188,42,19,23,sleepy
31,저녁 서재 울적한 기분 위로 길어진 침묵이 따르는는 느낌,233,61,45,29,lonely
32,은근히 주말 부엌에 맑은 맴도는 따뜻한 배려의 흔적,88,62,94,82,grateful
33,새벽 방에 도약하는 기분이 머무는 걸음,72,100,100,94,energetic
34,오후 거실에 바람 결의 숨결이 스며드는 생각,36,39,80,80,natural
35,살며시 낮 거실에 축축한 맴도는 잿빛 기분,239,53,46,50,sad
36,살며시 낮 복도에 흐린 번지는 담백한 온기,41,78,89,58,warm
37,평일 복도에 비어 있는 자리이 흘러가는 리듬,225,50,38,29,lonely
38,오래도록 낮 부엌에 비 오는 흘러가는 잦은 맥박,187,78,57,48,anxious
39,바람 부는 아침 감사한 마음 사이로 도약하는 기분이 따르는다,68,98,100,93,energetic
40,천천히 선명한 생각과 들뜬 마음이 방에 흘러가는 쌀쌀한 공기,203,76,72,78,focused
41,축축한 주말 따가운 신경 사이로 찌릿한 눈가이 감싸는다,352,46,21,29,uncomfortable
42,가만히 포개진 감사과 감사한 마음이 베란다에 적시는 맑은 공기,76,62,83,83,grateful
43,오후 복도에 거친 심장박동이 적시는 리듬,2,100,87,67,angry
44,비 오는 아침 고요한 평온 사이로 고마운 하루이 머무는다,99,71,91,87,grateful
45,오후 복도에 차분한 마음결이 감싸는 리듬,21,61,59,47,calm
46,비 오는 주말 설레는 느낌 사이로 느릿한 시간이 따르는다,53,60,53,65,calm
47,어느새 새벽 작업실에 포근한 감싸는 보랏빛 감성,269,91,95,65,romantic
48,주말 서재에 햇결 같은 평온이 흘러가는 맥박,47,46,93,86,natural
49,오래도록 낮 작은 방에 쌀쌀한 맴도는 느릿한 시간,35,54,54,45,calm
50,은근히 아침 복도에 축축한 머무는 잿빛 기분,211,49,50,39,sad
51,쌀쌀한 평일 활기찬 리듬 사이로 차분한 마음결이 흘러가는다,58,42,51,51,calm
52,아련히 쫓기는 생각과 따가운 신경이 작업실에 스며드는 흐린 공기,184,66,50,51,anxious
53,조용히 차분한 마음결과 가벼운 발걸음이 작은 방에 적시는 쌀쌀한 공기,21,46,48,47,calm
54,쌀쌀한 아침 잔잔한 안정감 사이로 가지런한 호흡이 번지는다,196,72,70,79,focused
55,맑은 낮 메마른 하루 사이로 뜨거운 숨결이 따르는다,356,99,74,75,angry
56,축축한 평일 고요한 평온 사이로 탄력 있는 리듬이 스며드는다,65,100,100,93,energetic
57,가만히 충만한 미소과 감사한 마음이 서재에 깃드는 비 오는 공기,87,73,91,79,grateful
58,주말 방에 바람 결의 숨결이 적시는 공기,56,51,91,80,natural
59,저녁 작업실 잔잔한 안정감 위로 도약하는 기분이 머무는는 느낌,54,100,100,100,energetic
60,오후 복도에 한기 어린 마음이 흘러가는 시선,239,58,44,32,lonely
61,저녁 서재에 팽팽한 의지이 번지는 공기,60,100,100,100,energetic
62,조용히 오후 거실에 축축한 머무는 잦은 맥박,191,74,58,45,anxious
63,오후 베란다 거칠어진 감정 위로 쫓기는 생각이 깃드는는 느낌,190,78,49,46,anxious
64,어느새 밤 작업실에 포근한 흘러가는 잔잔한 파도,21,49,60,50,calm
65,천천히 달콤한 온기과 설레는 느낌이 서재에 머무는 안개 낀 공기,281,96,90,62,romantic
66,오래도록 평일 방에 축축한 따르는 뜨거운 숨결,350,99,80,69,angry
67,평일 방에 모아지는 집중이 깃드는 호흡,196,78,68,78,focused
68,낮 거실에 따스한 숨결이 맴도는 리듬,20,82,75,75,warm
69,천천히 창가의 잔빛과 설레는 느낌이 작은 방에 따르는 바람 부는 공기,40,43,88,84,natural
70,가만히 담백한 온기과 설레는 느낌이 서재에 머무는 맑은 공기,40,94,80,55,warm
71,축축한 평일 들뜬 마음 사이로 나뭇결의 고요이 머무는다,41,50,82,77,natural
72,오후 부엌 고요한 평온 위로 고요한 호흡이 따르는는 느낌,41,48,50,49,calm
73,조용히 가라앉은 표정과 지친 기운이 부엌에 맴도는 포근한 공기,234,68,45,44,sad
74,가만히 환한 마음과 설레는 느낌이 작업실에 적시는 바람 부는 공기,42,99,100,94,happy
75,새벽 서재 무거운 마음 위로 비어 있는 자리이 스며드는는 느낌,242,65,42,45,lonely
76,밤 복도 설레는 느낌 위로 선명한 생각이 머무는는 느낌,213,76,80,69,focused
77,평일 작업실에 보랏빛 감성이 적시는 걸음,267,98,95,67,romantic
